security_id,as_of_date,calculated_at,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state,source_price_hash
security_567d0d575bbd30aaa91d,2026-09-11,2026-09-11T18:05:29Z,254,4119.5,3954.8,3243.83591187,54.66468412,4119.5,4423.63648252,3815.36351748,76.90653028,59.801562,17.10496828,0.02415459,0.00712589,0,-0.40323892,0.64134155,,8338ba1a588475b98ddd40fd7e92d451098516bb59e122c2707fb52c0ef65da4
security_59304f90c440def31dc5,2026-09-11,2026-09-14T09:42:46Z,252,208.8340004,208.28963074,192.90662888,32.27220222,208.8340004,226.00499664,191.66300416,-3.72635204,-1.87909929,-1.84725275,-0.00222089,-0.02201559,-0.10043228,-0.31579373,0.20401981,,62d0814e4b3c4912aae6180d487863dcf1d7bcc642f52211bbf63795a08b326c
security_61567714298b9563d1a9,2026-09-11,2026-09-14T09:42:46Z,252,3.83203133,3.62343132,3.04244663,61.44206924,3.83203133,4.17628076,3.48778191,0.12111161,0.08539282,0.03571879,-0.01909306,0.05655528,0.13833139,0.04062958,0.42231064,,b0d58b8a79de163546ec7e4f5b78e27b9a7ba32be7dd30b23131a1c434935ebf
security_664f93a7eaca72e76e9b,2026-09-11,2026-09-14T09:42:46Z,63,142.99349976,135.07459991,,59.00236532,142.99349976,153.54414505,132.44285446,3.73446745,2.63899106,1.09547639,0.0204482,0.00981702,0.0702103,-0.04122795,0.41896208,,1fd915a6790d734391cf27669f7f5206f22fe4c3983b781ca4a9d235d0f93538
security_66cdcf90aac0d83e76f3,2026-09-11,2026-09-14T09:42:46Z,252,132.82872238,127.145289,156.17728207,35.04925676,132.82872238,145.02882327,120.6286215,-1.78407842,0.25466785,-2.03874628,-0.03434676,-0.10777914,-0.09932556,0.18738525,0.48237089,bollinger_below_lower,472fc4029eaabe11c4d21706665ff09461b1adff4c839dde13ba09da8767a8d6
security_6ac6a6268ca7c08829ae,2026-09-11,2026-09-14T09:42:46Z,252,3.34900002,3.14380001,2.57465,50.82079473,3.34900002,3.6326125,3.06538755,0.0339804,0.05094024,-0.01695984,0.01529051,0,-0.08287292,0.07720243,0.49582105,,676c36cd3116a20ce7040491c8a03acc669635a181fd28a3405985a83747e07a
security_6ad1af8d10d6276a0221,2026-09-11,2026-09-14T09:42:46Z,252,203.30599823,190.95977291,178.05494857,45.47227516,203.30599823,223.27890784,183.33308862,2.17125936,4.35764437,-2.18638501,-0.00334807,-0.0302711,0.03145162,-1.25075422,0.54651851,,9d8353aa7ff0a88404155cd74815f55d0f9a2f911311b3df88e6c77be041c625
security_6cf75bd0ec0aa2a20148,2026-09-11,2026-09-14T09:42:46Z,252,134.16450043,113.00380005,66.76195,50.91842931,134.16450043,155.34522946,112.9837714,3.69145625,6.85222318,-3.16076694,0.00291685,-0.01157645,0.01540426,-0.81212448,1.0395993,,d875018cdd4c99400a9a074e21042e9ba3d10d320daab861bbae4b24cdd8a751
security_6f9a1450edceb9307c9a,2026-09-11,2026-09-14T09:42:46Z,252,193.15999985,185.29680084,153.3964999,57.06392395,193.15999985,203.91073879,182.40926091,2.24280504,2.75538966,-0.51258462,0.05608757,0.04257205,-0.01979176,-0.24900257,0.4397634,,6a5bc102b4ed9082f43cccc49ed84ad1047be4d66a174e9de48a6491745e4706
security_715bde20b6e1e1320c1a,2026-09-11,2026-09-14T09:42:46Z,252,14.88174996,14.79839998,13.33283144,49.94189825,14.88174996,15.99970004,13.76379989,0.13444654,0.18658145,-0.05213491,-0.00402148,-0.05830165,0.00677503,-0.97153451,0.42412081,,5e9f916ead7a57cf0c7ab8101e8d37870e532c4fb1d5607e8726e5d12171f853
security_798e2fb944d740aca308,2026-09-11,2026-09-11T18:05:29Z,256,59.24749947,58.45699974,55.38007627,36.66523943,59.24749947,61.23834749,57.25665144,-0.29808811,0.01526071,-0.31334883,-0.02229844,-0.03878582,-0.0836013,1.79833416,0.19018756,bollinger_below_lower,95913c66090840e471e961b9492dd7e0878969268b3026ba7480aff0dfe8a3bf
security_7bf8f4c9cc12ae410e40,2026-09-11,2026-09-14T09:42:46Z,252,11.4329999,8.67359995,5.28449999,54.66233559,11.4329999,12.46901333,10.39698646,0.66208506,0.95275293,-0.29066787,0.04110902,-0.05877263,-0.00729261,-0.48728415,0.86953109,,5cd3aaced3c64caa021784005510d771e140d8965838c03374851effbb2146ee
security_7ca095d63423c55a90e3,2026-09-11,2026-09-14T09:42:46Z,252,68.38100014,72.30700005,79.91192516,37.76933335,68.38100014,80.9306918,55.83130848,-3.60168547,-3.46878804,-0.13289743,0.01597808,-0.01347752,-0.21410734,-0.30451743,0.39973773,,f8096fb6aa17167eb344f6d8f41ec67dc68828861b0f931eef369a8b5d8b41cb
security_83a56943e18793f685b0,2026-09-11,2026-09-14T09:42:46Z,252,263.37150116,277.47274597,240.61069633,51.72695344,263.37150116,278.72713074,248.01587158,-4.73946878,-6.13295926,1.39349049,0.03817327,0.05858256,-0.01729869,-0.15453143,0.29927289,,658380708a30a7a4be04e178a01b8666b157a383a095dfd40fae369a70524e4d
security_84705b27d28a94f2b318,2026-09-11,2026-09-14T09:42:46Z,252,7.97250006,8.21180004,8.96215,43.18472026,7.97250006,8.81175877,7.13324135,-0.19539955,-0.18151157,-0.01388798,0.01981501,-0.00643503,-0.13935345,-0.90446394,0.42088273,,282be2aeb179c771e5cc8affe50803dec3edb3b48399478253572d9fe597359a
security_8472507d7d320aa388a7,2026-09-11,2026-09-14T09:42:46Z,252,207.51350021,202.58259949,144.12389992,49.9560627,207.51350021,232.40462928,182.62237114,2.34100015,3.23475113,-0.89375099,-0.01015032,-0.03828439,-0.08331483,-0.8498745,0.92095307,,a708f461e80a13a0597b0fcecadc6cba256f3c10c1c0cfefec597b3821b7f321
security_89969b7dac39b7db5661,2026-09-11,2026-09-14T09:42:46Z,254,25.90562346,28.24224934,29.13665116,34.84448818,25.90562346,28.40366889,23.40757802,-1.15089322,-1.1551125,0.00421928,-0.02834011,-0.04,-0.19463085,-0.4840599,0.39840141,,db1f7d79d5b451a9bc4ad5228c8d6257cc88033fe0cc17f9f84ae0a973864b3b
security_8a5c43888d224de85c69,2026-09-14,2026-09-14T09:42:46Z,254,5.03748355,4.68499342,4.99919837,36.78496107,5.03748355,5.57757712,4.49738998,-0.02725732,0.06943567,-0.09669299,-0.02433631,-0.10547667,-0.13359534,-0.61343758,0.60305795,bollinger_below_lower,8bcbb6c6ab76623a69c20b2c91008bdf9061c6fe1d77b075bbba9559f2353f4c
security_8b703a8adf5f864acaa4,2026-09-11,2026-09-11T18:05:29Z,256,37.2164999,38.60489983,43.06890009,35.60764421,37.2164999,39.10098371,35.33201609,-0.85517308,-0.65246729,-0.20270579,0.00906654,-0.04067336,-0.04759991,-0.42981414,0.20283621,,e20b0a9cc675b14cbd2909f57d25305bafecd2d80224df0fb80bf7d30e9b3f51
security_8d11e65cd0de084ee461,2026-09-11,2026-09-14T09:42:46Z,252,52.04099979,57.63899986,64.01950005,39.5246344,52.04099979,55.62978668,48.45221291,-1.43311805,-1.33275401,-0.10036404,-0.004233,-0.10312273,-0.06757263,-0.83112628,0.42286101,,9502a3eb4f4ee93996d045eea380abf67ebe44d6fd9ed48a47535470d72aed99
security_95351d928b674bbdf687,2026-09-11,2026-09-14T09:42:46Z,252,7.00050004,7.84619997,8.28944997,41.94105468,7.00050004,7.56701481,6.43398526,-0.28220443,-0.30067842,0.01847399,-0.00442481,-0.02877695,-0.06767953,-0.52550075,0.99180814,,06e25caf45b26a056b0b4ada7f551e9c65d4e72ad9461c32a65d9bd3ac5a7182
security_96ba305ee7cd586bc348,2026-09-11,2026-09-14T09:42:46Z,254,32.68549976,34.7747998,35.43430111,44.16450437,32.68549976,34.40443529,30.96656424,-0.76295324,-0.86632177,0.10336853,0.00217661,-0.01827604,-0.05815317,-0.34617552,0.46340482,,57e10c289c84b5556625fb4af5b972d24ffdb71b18984b450760ee963ef7b195
security_97f38b2cb2d5ef127f5a,2026-09-11,2026-09-14T09:42:46Z,252,20.4335001,22.46459999,27.09035,23.45602309,20.4335001,25.25010165,15.61689855,-1.78533271,-1.45698382,-0.32834889,-0.01437985,-0.10354221,-0.3353535,0.20545029,0.38368606,rsi_oversold,6bdb8ef22492c21d39cbe8978edf49d0cbc1bc0f5826955bd56e26e72c8a3df2
security_98470cfc01bbcde78fc2,2026-09-11,2026-09-14T09:42:46Z,252,18.10999985,17.82979992,19.80427498,45.25090644,18.10999985,19.29409487,16.92590483,-0.09424048,0.05319196,-0.14743244,0.00639167,-0.0642896,-0.06022792,-1.49037485,0.51842142,,5fe9293880e94e3910f0fad8bd05c95bde8b6e5bb181b3bb26026e4ff9cf8947
security_98a1943771da875efed5,2026-09-11,2026-09-14T09:42:46Z,252,11.63250003,11.60594774,10.87411655,38.26754297,11.63250003,12.25894634,11.00605372,-0.10467549,0.00203371,-0.1067092,-0.0099189,-0.04521743,-0.0880399,-0.60151765,0.3098669,bollinger_below_lower,56179cf8a05b6b558d2eeede24f4cb716081cfe42e710116fe4e76f7dbdf09e6
security_9b0db3bc77914b23a307,2026-09-11,2026-09-14T09:42:46Z,252,352.37283783,353.65992981,351.08802795,40.86557688,352.37283783,376.44587989,328.29979577,-6.90559683,-4.12461759,-2.78097924,0.01667981,-0.02840256,-0.10478966,-0.25805302,0.31602018,,aa4fceac27db47a4f136b01ef8d4356ce00d8e63bc08511a8bdde813e478af66
security_9d4049ed6669a52815d6,2026-09-11,2026-09-14T09:42:46Z,252,76.99961624,73.09784637,75.85325125,37.26331832,76.99961624,83.08606979,70.91316269,0.01061753,1.05761596,-1.04699843,-0.03600498,-0.10733114,-0.03159654,0.13208442,0.42423289,bollinger_below_lower,269aac5ec10a4fc3691dfb835d7d705db4ff7db4dda0d73c7b7828f677c400a3
security_a5dc16f3f4b245e6c168,2026-09-11,2026-09-14T09:42:46Z,252,16.42150002,15.53360001,19.90670004,39.89438688,16.42150002,20.01729333,12.8257067,-0.55103639,-0.38342531,-0.16761108,-0.01846782,-0.02380949,-0.18280178,-0.54364515,0.67683091,,4669ec1fdc7ff1b1282736ec7bef8025a867de10d3c2c91ada04759ddfd2fba8
security_a9eb9838940ef5ceaa0c,2026-09-11,2026-09-14T09:42:46Z,252,11.04650006,13.1073,17.9366,35.90188518,11.04650006,12.76212569,9.33087443,-0.99652809,-1.04433525,0.04780716,0.02476788,-0.02647054,-0.24886535,-0.5715502,0.61437235,,acd2ea9c9c5e9b3ae73c5ed1d50c8d6173dadef8bcf197f48a5c8b31bad32427
security_ad3b1f8f59fd599f079a,2026-09-11,2026-09-14T09:42:46Z,252,107.06349945,103.43479996,95.15887497,55.78885748,107.06349945,125.03770421,89.08929469,4.66794504,4.05546845,0.61247659,-0.0067061,-0.09741823,0.13283684,-0.23438184,0.91952515,,89afbcd99ecaff05c50616b928bb095223504cab686480c623cf2b206f73688c
security_ad5917642acbba28c1f2,2026-09-11,2026-09-14T09:42:46Z,252,626.18700562,642.68420044,615.96349823,35.52959384,626.18700562,674.95410579,577.41990544,-14.6684334,-12.00541529,-2.66301811,0.01222125,-0.00671199,-0.10371701,0.17874301,0.17247542,,0da424d457e3b9ad087ecc59ef7249ff6280b13a9c450139e702c09d5089a3bf
security_b19e8f0343b7da1f3c03,2026-09-14,2026-09-14T09:42:46Z,75,24.22600002,22.00099991,,39.24494126,24.22600002,27.38025035,21.07174969,-0.18840611,0.37038425,-0.55879036,-0.042086,-0.18774244,-0.13039865,-0.23839413,0.73456967,bollinger_below_lower,9393605e32dca39237c355362ee5c0f59dd4ba0166711954e9e7e19cd6bad0e4
security_b1f2c48e1a744f5ecf67,2026-09-11,2026-09-14T09:42:46Z,252,327.94018707,309.44987488,275.95621948,40.85860412,327.94018707,344.75414795,311.1262262,1.62870025,5.78953429,-4.16083403,0.01492057,-0.06021114,-0.03425397,0.67809309,0.23307111,,2335424ff986786425e3cae4d28442347a910cd78c3e9791d4318412e2bc0bb3
security_b2116dcf976c96974d7b,2026-09-11,2026-09-14T09:42:46Z,252,14.88399997,14.66426744,15.18488995,54.67009109,14.88399997,16.18628103,13.5817189,0.22772913,0.19240196,0.03532717,-0.00327226,-0.0052254,0.10362314,-0.79936757,0.27456771,,b24ea7e068df4b01da4559673bda9cd1a0374ae4a018837e2aae6bc5b386791d
security_b61c642d038d71be3821,2026-09-11,2026-09-14T09:42:46Z,252,7.01100004,6.82780001,5.97345001,64.92707774,7.01100004,7.75900798,6.2629921,0.21792241,0.15261591,0.0653065,0.0282638,0.08677093,0.11370258,1.93274066,0.55709617,,be63159cca40e692eb357d62ada6a458f8459735e42b81e07c1bc2b216aaf29b
security_bdc2f87dadf134760c3a,2026-09-11,2026-09-14T09:42:46Z,252,175.55499954,153.92679916,151.51977482,49.15742431,175.55499954,187.6781667,163.43183238,3.88638023,7.04157216,-3.15519193,0.00825995,-0.08382185,-0.06580637,-1.85058456,0.50054482,,c9ef55e09f3367c52090ca833607e339a1ea58651e9fd51d9bca05437fd8e50a
security_c120e9f26ebb6159adf9,2026-09-11,2026-09-14T09:42:46Z,252,98.19500008,99.56280045,91.15661049,44.18774407,98.19500008,102.46213268,93.92786748,-1.09428741,-0.96979266,-0.12449475,0.00838753,0.00491068,-0.05890408,-0.30696905,0.27508966,,316a4f436a87a7586889657c39a4f5b0051ff634e4356e860db05dc1cc0f426f
security_c150f31c30afdb4a85f9,2026-09-11,2026-09-14T09:42:46Z,252,120.46550026,127.70620026,103.95350018,36.29715736,120.46550026,132.89601416,108.03498636,-4.78816963,-3.80832733,-0.9798423,0.03353856,-0.0304284,-0.15147853,-0.71959033,0.3001852,,e77baa097d2e4ac114f0e6269eabbc5f0d2634f9bcae3eedcec72f5e6c98668e
security_c2e6db30cb59254de418,2026-09-11,2026-09-14T09:42:46Z,252,89.23450012,90.96199997,69.36094992,43.80754872,89.23450012,97.62478101,80.84421924,-0.53221303,-0.00398416,-0.52822887,0.01484976,-0.0744841,-0.08849371,-1.22011212,0.55285037,,b61b47f08d9bf32f8c6b898b03d34987ec7513aaae37cb6fd59d10c3ad7f1acc
security_c5a9e460d3350284d157,2026-09-11,2026-09-14T09:42:46Z,252,359.24950104,324.7073175,242.95610443,78.56302959,359.24950104,392.13576843,326.36323365,18.46391465,16.52906217,1.93485247,0.01294663,0.0532251,0.13851627,1.16629298,0.2142649,rsi_overbought,8d4c5279aea26897863be1f6306f801f388972c0df99f65963737ce480bd3c88
security_c86bb4e75658c07142cf,2026-09-11,2026-09-14T09:42:46Z,252,340.98993988,347.15297485,336.58523163,46.83398418,340.98993988,350.422632,331.55724776,-3.61276722,-3.20405349,-0.40871373,0.01773901,-0.01098583,-0.02269311,0.42223519,0.1881253,,9c61bc578c776acdec71a3e477e046d96298a7666020870b838be0a6debb8e19
security_c9a37d277445869a8809,2026-09-11,2026-09-14T09:42:46Z,252,40.46749973,44.61839966,58.90845001,63.88156558,40.46749973,45.81754653,35.11745294,0.68118455,-0.37054206,1.05172661,0.01381459,0.09612146,0.19894596,-1.18520775,0.36021528,,01faecf9d87a9a753ad31ff070d6c82b0abffcd7cef89c9be74bb818fd23928d
security_cb88f9154cfeaa15e878,2026-09-11,2026-09-14T09:42:46Z,252,266.34700012,278.73259918,259.36886833,45.14311575,266.34700012,292.28452727,240.40947298,-4.38750201,-4.65610866,0.26860665,0.03598917,-0.04378228,-0.10453899,-0.00476987,0.61845527,,9e112e3e58b1fa68c2c91d4457328c9cc46f2ceb866d9967cb08475a6a6f6e5a
security_cc4dcb8f002b61dffe00,2026-09-11,2026-09-11T18:05:29Z,256,9.45349998,9.92099998,9.20515002,45.61526904,9.45349998,9.9919525,8.91504746,-0.15105151,-0.16974284,0.01869133,0.00538215,-0.00320168,-0.05846773,-0.93999889,0.36552039,,5f33ea282a980a63cf63f844dc1f64613acf0cacb3f392cab887330258ed5dff
security_ccb25582c0392492fe9e,2026-09-11,2026-09-11T18:05:29Z,254,18.49999997,17.71000004,15.23786432,42.31957443,18.49999997,19.11520716,17.88479277,0.12346199,0.27439531,-0.15093332,-0.01489236,-0.03978493,-0.00997784,0.84695389,0.17631546,bollinger_below_lower,cac60b8a132aaafe05a05f990d57817f433280a73f9b62f00b80a5a55f2fa498
security_cd492d97064d8574156e,2026-09-11,2026-09-14T09:42:46Z,252,56.03749962,51.23179993,57.53769995,41.6658415,56.03749962,61.37328396,50.70171528,0.05775638,0.94269864,-0.88494225,-0.01578335,-0.06080328,-0.09252608,-0.38706663,0.56457862,bollinger_below_lower,f3779dee00302d53f5a9aa8a168d06abf762a5dc62285801a9d037b173cfc03f
security_ce9b78a4d0773c950765,2026-09-11,2026-09-14T09:42:46Z,252,421.70899963,418.93479919,374.9871138,56.89073088,421.70899963,438.42806328,404.98993599,3.60656569,1.86074469,1.745821,0.01217202,0.03891988,0.00638807,0.60159576,0.26945675,,3151fa1a7eb087b79347da997aa8469471cbdfe2234762774976a169dccf4b49
security_d08d763780400dfbffce,2026-09-11,2026-09-11T18:05:29Z,254,2991.5,2818.5,2247.87062439,58.36030324,2991.5,3241.62197025,2741.37802975,90.38508694,76.44910396,13.93598298,-0.00796178,0.02467105,0.04180602,-0.44183608,0.57278288,,8d4fab1bb7d5ac0555e406c563247525742e1d6587c6aaba6c631ad61e09bb60
security_d12e746b3c9d392183cc,2026-09-11,2026-09-14T09:42:46Z,252,586.46700134,600.90219727,622.57828339,67.1792425,586.46700134,653.41486135,519.51914133,14.02335652,4.1481052,9.87525132,0.0056644,0.06116139,0.08918107,-0.15056137,0.36126507,,149c07287f4ce477a8276c410bf91c8e024b03f09a9e98637ab3335310d4546b
security_d202772e4e62065cd17a,2026-09-11,2026-09-14T09:42:46Z,252,52.0340004,52.20100037,58.09740004,48.64791939,52.0340004,54.68227781,49.38572298,-0.55259322,-0.26415284,-0.28844038,0.05415903,-0.02180917,-0.0706306,-0.2402459,0.36600932,,64c80789cff729f961009f6782688fda6f15c4f15466a830eafb69d5c4dfad99
